lon,lat
-171.3973,52.2579
-134.1358,54.5724
-68.1999,49.0646
-117.6441667,35.813
-155.4195,19.0416666666667
-177.147,51.5644
-115.5046667,32.9191667
-137.6692,59.5648
50.3487,30.6967
-147.692,61.2285
45.8112,33.5843
-152.8114,60.5169
-155.416833333333,19.0341666666667
-151.5839,61.174
-152.0554,60.407
-155.3675,19.1508333333333
164.2166,-10.7449
-149.0576,63.1403
-103.5992772,31.06069643
-163.5754,53.3934
-103.9879241,31.61472121
-163.6014,53.4858
140.1231,27.1504
-146.9047,61.1791
-117.8168,38.1767
-80.4779,-3.7762
-151.1452,59.0359
-150.087,61.3557
-155.129666666667,19.3491666666667
-134.1423,54.536
-151.5917,60.9101
-146.8951,60.8976
-119.0181667,37.6536667
-122.8174973,38.8336678
-119.5225,38.543
-174.097,50.8197
-95.52583333,35.1175
-151.764,60.0768
-155.1843,58.2257
102.7601,-3.0656
-164.2939,55.05
-117.307,32.6443333
-76.1594,-13.669
-121.1891667,36.5906667
-155.369827270508,19.138500213623
-178.3124,-32.8499
-151.9401,61.6098
-112.1741667,41.4936667
-151.7958,61.6959
-157.412,57.098
-112.1728333,41.4953333
-122.9045,38.8323333
-151.6833,62.0281
-122.8151667,38.8483333
-121.0228333,35.7105
-104.1167193,31.74153731
-151.3368,60.8795
54.3827,-34.8091
-116.8863333,33.3688333
-81.4701666666667,36.3188333333333
-26.1721,-57.6476
-146.9124,61.1881
-25.8919,-57.3719
-160.3487,54.9281
-120.8022,39.9004
-116.5755,33.5141667
-116.3005,34.6581667
-153.057,60.206
-66.8363333333333,17.9841666666667
-144.752,69.7271
179.8412,-31.2402
-115.4025,32.3855
-104.1035326,31.60509436
-177.9908,51.6074
-151.5091,61.5405
-122.805336,38.8136673
-149.2514,62.6241
-175.8963,52.0535
-116.8351667,33.9786667
-104.1129211,31.7369577
-141.4108,60.2558
-117.8915,36.2205
-120.2386667,36.129
-117.6492,39.5647
-122.8148333,38.8288333
-151.1031,61.8837
-122.8141667,38.8288333
-150.6567,61.2194
-117.8831667,36.2171667
-152.3297,60.3004
-151.702,61.7338
-176.308,51.3215
-150.163,62.2114
-82.8198,8.6665
-147.2845,63.6026
-66.8851666666667,17.985
12.3668,44.2129
-122.8184967,38.8046684
-116.7216667,33.6395
-122.7948303,38.8168335
-117.8651667,36.212
-161.8776,54.7033
-122.7638333,38.8208333
-171.9412,52.2349
145.615,13.1191
-155.391326904297,19.2115001678467
-97.64966667,35.00416667
